mlbam,season,age,warBat,warPit,salary,gPit,gsPit
110029,2014,40,-0.49,,,,
111072,2013,41,-1.11,,750000,,
112526,2013,40,-0.08,5.64,3000000,30.0,30.0
112526,2014,41,-0.57,0.43,9000000,31.0,31.0
112526,2015,42,-0.08,1.34,11000000,33.0,31.0
112526,2016,43,-0.28,2.97,7250000,34.0,33.0
112526,2017,44,-0.29000000000000004,-1.86,12500000,28.0,28.0
112526,2018,45,-0.05,0.82,1750000,28.0,24.0
114739,2013,42,-0.63,,750000,,
114739,2014,43,-0.56,,,,
115629,2013,40,0.0,0.63,1000000,72.0,0.0
115629,2014,41,-0.02,0.88,2250000,57.0,0.0
115629,2015,42,-0.02,0.5900000000000001,2250000,42.0,0.0
115732,2013,39,0.14,,5000000,,
116338,2013,37,2.6,,12000000,,
116338,2014,38,0.93,,14000000,,
116338,2015,39,-0.66,,10500000,,
116380,2013,41,0.72,,2750000,,
116380,2014,42,-0.91,,2750000,,
116539,2013,39,-0.78,,17000000,,
116539,2014,40,-0.74,,12000000,,
117244,2013,37,-1.32,,13500000,,
117244,2014,38,-0.68,,2500000,,
117276,2013,37,-1.72,,1300000,,
117955,2013,40,0.0,-0.54,1250000,9.0,0.0
119984,2013,42,0.0,0.23,3000000,50.0,0.0
120074,2013,37,4.42,,14000000,,
120074,2014,38,2.64,,15000000,,
120074,2015,39,2.99,,16000000,,
120074,2016,40,5.08,,16000000,,
120485,2013,41,-0.03,2.27,12000000,30.0,30.0
121250,2013,43,0.0,2.36,10000000,64.0,0.0
121347,2013,37,0.01,,28000000,,
121347,2015,39,2.84,,22000000,,
121347,2016,40,-1.2,,21000000,,
123173,2013,39,0.26,,1100000,,
124604,2013,38,0.0,0.91,900000,66.0,1.0
124604,2014,39,-0.07,-0.17,1800000,61.0,1.0
133225,2013,36,0.0,-0.21,13250000,32.0,29.0
133380,2013,35,0.8,,10000000,,
133380,2014,36,0.97,,16000000,,
133380,2015,37,-0.37,,14000000,,
134181,2013,34,5.65,,16000000,,
134181,2014,35,6.16,,17000000,,
134181,2015,36,4.62,,16000000,,
134181,2016,37,6.87,,18000000,,
134181,2017,38,3.64,,18000000,,
134181,2018,39,1.49,,18000000,,
135784,2013,37,0.32,,2750000,,
136263,2013,39,0.0,-0.12,366000,8.0,0.0
136460,2013,36,-0.96,,1500000,,
136460,2014,37,-0.53,,1100000,,
136600,2013,36,0.04,1.85,4500000,34.0,15.0
136600,2014,37,,-1.13,3000000,13.0,7.0
136600,2015,38,,-0.4,,2.0,2.0
136660,2013,38,0.73,,750000,,
136734,2013,39,,-0.6,3500000,6.0,0.0
136767,2013,35,0.96,,3000000,,
136767,2014,36,0.35,,3500000,,
136860,2013,36,2.33,,13000000,,
136860,2014,37,-0.23,,15000000,,
136860,2015,38,1.07,,15000000,,
136860,2016,39,2.17,,15000000,,
136860,2017,40,-0.83,,16000000,,
136880,2013,36,-0.27,-1.12,20000000,13.0,13.0
150009,2013,40,-0.02,-0.19,,7.0,4.0
150020,2013,37,-0.84,,3750000,,
150021,2013,34,0.08,,,,
150029,2013,34,4.64,,16000000,,
150029,2014,35,4.15,,20000000,,
150029,2015,36,-1.48,,21000000,,
150029,2016,37,0.27,,21000000,,
150029,2017,38,-0.71,,21000000,,
150035,2013,37,0.0,-0.07999999999999996,1250000,48.0,0.0
150035,2014,38,0.0,-0.03999999999999998,,35.0,0.0
150040,2013,38,0.03,,1500000,,
150040,2014,39,-2.01,,1750000,,
150093,2013,37,2.93,,18000000,,
150093,2014,38,-1.18,,18000000,,
150116,2014,37,-0.01,-0.25,,6.0,4.0
150116,2015,38,,-0.75,,8.0,7.0
150119,2013,36,-0.14,0.45,,17.0,13.0
150212,2013,34,2.09,,10500000,,
150212,2014,35,1.62,,10500000,,
150212,2015,36,0.63,,8500000,,
150229,2013,36,1.78,,7500000,,
150229,2014,37,-0.6699999999999999,,8250000,,
150229,2015,38,1.33,,2000000,,
150229,2016,39,-1.39,,3000000,,
150274,2013,38,0.0,3.18,7000000,67.0,0.0
150274,2014,39,0.0,-0.31,9000000,62.0,0.0
150274,2015,40,,0.01,10000000,1.0,0.0
150274,2016,41,0.0,0.43,,10.0,0.0
150275,2013,34,-0.47,,1000000,,
150289,2013,35,-0.36000000000000004,,2900000,,
150289,2014,36,-0.32,,,,
